Freq.	V(out)
1.00000000000000e+001	(-3.50422319713591e+001dB,-1.02453641990962e+002°)
1.00695555005672e+001	(-3.48606544284587e+001dB,-1.03016377949149e+002°)
1.01395947979003e+001	(-3.46795439149326e+001dB,-1.03580009544416e+002°)
1.02101212570719e+001	(-3.44989011977503e+001dB,-1.04144523591182e+002°)
1.02811382665607e+001	(-3.43187270065100e+001dB,-1.04709906900580e+002°)
1.03526492384138e+001	(-3.41390220334463e+001dB,-1.05276146286111e+002°)
1.04246576084112e+001	(-3.39597869334592e+001dB,-1.05843228569296e+002°)
1.04971668362307e+001	(-3.37810223241657e+001dB,-1.06411140585341e+002°)
1.05701804056138e+001	(-3.36027287859740e+001dB,-1.06979869188810e+002°)
1.06437018245336e+001	(-3.34249068621788e+001dB,-1.07549401259290e+002°)
1.07177346253629e+001	(-3.32475570590802e+001dB,-1.08119723707058e+002°)
1.07922823650443e+001	(-3.30706798461237e+001dB,-1.08690823478739e+002°)
1.08673486252606e+001	(-3.28942756560639e+001dB,-1.09262687562949e+002°)
1.09429370126074e+001	(-3.27183448851491e+001dB,-1.09835302995924e+002°)
1.10190511587661e+001	(-3.25428878933291e+001dB,-1.10408656867124e+002°)
1.10956947206785e+001	(-3.23679050044855e+001dB,-1.10982736324823e+002°)
1.11728713807222e+001	(-3.21933965066832e+001dB,-1.11557528581654e+002°)
1.12505848468881e+001	(-3.20193626524449e+001dB,-1.12133020920138e+002°)
1.13288388529580e+001	(-3.18458036590473e+001dB,-1.12709200698161e+002°)
1.14076371586842e+001	(-3.16727197088394e+001dB,-1.13286055354422e+002°)
1.14869835499704e+001	(-3.15001109495818e+001dB,-1.13863572413830e+002°)
1.15668818390529e+001	(-3.13279774948089e+001dB,-1.14441739492850e+002°)
1.16473358646846e+001	(-3.11563194242110e+001dB,-1.15020544304801e+002°)
1.17283494923188e+001	(-3.09851367840391e+001dB,-1.15599974665096e+002°)
1.18099266142953e+001	(-3.08144295875295e+001dB,-1.16180018496419e+002°)
1.18920711500272e+001	(-3.06441978153497e+001dB,-1.16760663833839e+002°)
1.19747870461893e+001	(-3.04744414160651e+001dB,-1.17341898829854e+002°)
1.20580782769076e+001	(-3.03051603066254e+001dB,-1.17923711759369e+002°)
1.21419488439505e+001	(-3.01363543728711e+001dB,-1.18506091024588e+002°)
1.22264027769207e+001	(-2.99680234700600e+001dB,-1.19089025159840e+002°)
1.23114441334492e+001	(-2.98001674234130e+001dB,-1.19672502836307e+002°)
1.23970769993899e+001	(-2.96327860286785e+001dB,-1.20256512866683e+002°)
1.24833054890161e+001	(-2.94658790527161e+001dB,-1.20841044209727e+002°)
1.25701337452183e+001	(-2.92994462340981e+001dB,-1.21426085974736e+002°)
1.26575659397028e+001	(-2.91334872837295e+001dB,-1.22011627425916e+002°)
1.27456062731927e+001	(-2.89680018854855e+001dB,-1.22597657986654e+002°)
1.28342589756291e+001	(-2.88029896968658e+001dB,-1.23184167243694e+002°)
1.29235283063750e+001	(-2.86384503496660e+001dB,-1.23771144951194e+002°)
1.30134185544194e+001	(-2.84743834506657e+001dB,-1.24358581034696e+002°)
1.31039340385837e+001	(-2.83107885823322e+001dB,-1.24946465594965e+002°)
1.31950791077290e+001	(-2.81476653035397e+001dB,-1.25534788911729e+002°)
1.32868581409652e+001	(-2.79850131503037e+001dB,-1.26123541447295e+002°)
1.33792755478612e+001	(-2.78228316365304e+001dB,-1.26712713850052e+002°)
1.34723357686569e+001	(-2.76611202547797e+001dB,-1.27302296957849e+002°)
1.35660432744768e+001	(-2.74998784770423e+001dB,-1.27892281801253e+002°)
1.36604025675440e+001	(-2.73391057555301e+001dB,-1.28482659606682e+002°)
1.37554181813975e+001	(-2.71788015234790e+001dB,-1.29073421799405e+002°)
1.38510946811093e+001	(-2.70189651959644e+001dB,-1.29664560006424e+002°)
1.39474366635041e+001	(-2.68595961707282e+001dB,-1.30256066059211e+002°)
1.40444487573800e+001	(-2.67006938290174e+001dB,-1.30847931996326e+002°)
1.41421356237310e+001	(-2.65422575364333e+001dB,-1.31440150065884e+002°)
1.42405019559708e+001	(-2.63842866437909e+001dB,-1.32032712727904e+002°)
1.43395524801583e+001	(-2.62267804879884e+001dB,-1.32625612656505e+002°)
1.44392919552250e+001	(-2.60697383928859e+001dB,-1.33218842741969e+002°)
1.45397251732032e+001	(-2.59131596701927e+001dB,-1.33812396092662e+002°)
1.46408569594563e+001	(-2.57570436203629e+001dB,-1.34406266036818e+002°)
1.47426921729111e+001	(-2.56013895334992e+001dB,-1.35000446124167e+002°)
1.48452357062905e+001	(-2.54461966902633e+001dB,-1.35594930127434e+002°)
1.49484924863494e+001	(-2.52914643627934e+001dB,-1.36189712043680e+002°)
1.50524674741107e+001	(-2.51371918156281e+001dB,-1.36784786095506e+002°)
1.51571656651040e+001	(-2.49833783066357e+001dB,-1.37380146732104e+002°)
1.52625920896057e+001	(-2.48300230879486e+001dB,-1.37975788630163e+002°)
1.53687518128802e+001	(-2.46771254069026e+001dB,-1.38571706694622e+002°)
1.54756499354240e+001	(-2.45246845069808e+001dB,-1.39167896059283e+002°)
1.55832915932101e+001	(-2.43726996287603e+001dB,-1.39764352087264e+002°)
1.56916819579351e+001	(-2.42211700108628e+001dB,-1.40361070371306e+002°)
1.58008262372676e+001	(-2.40700948909073e+001dB,-1.40958046733933e+002°)
1.59107296750984e+001	(-2.39194735064657e+001dB,-1.41555277227454e+002°)
1.60213975517925e+001	(-2.37693050960196e+001dB,-1.42152758133821e+002°)
1.61328351844426e+001	(-2.36195888999178e+001dB,-1.42750485964327e+002°)
1.62450479271248e+001	(-2.34703241613360e+001dB,-1.43348457459162e+002°)
1.63580411711557e+001	(-2.33215101272350e+001dB,-1.43946669586808e+002°)
1.64718203453515e+001	(-2.31731460493197e+001dB,-1.44545119543293e+002°)
1.65863909162889e+001	(-2.30252311849972e+001dB,-1.45143804751282e+002°)
1.67017583885675e+001	(-2.28777647983332e+001dB,-1.45742722859020e+002°)
1.68179283050744e+001	(-2.27307461610074e+001dB,-1.46341871739134e+002°)
1.69349062472506e+001	(-2.25841745532661e+001dB,-1.46941249487262e+002°)
1.70526978353592e+001	(-2.24380492648725e+001dB,-1.47540854420553e+002°)
1.71713087287552e+001	(-2.22923695960537e+001dB,-1.48140685076004e+002°)
1.72907446261574e+001	(-2.21471348584449e+001dB,-1.48740740208644e+002°)
1.74110112659226e+001	(-2.20023443760279e+001dB,-1.49341018789578e+002°)
1.75321144263208e+001	(-2.18579974860671e+001dB,-1.49941520003874e+002°)
1.76540599258132e+001	(-2.17140935400395e+001dB,-1.50542243248298e+002°)
1.77768536233315e+001	(-2.15706319045590e+001dB,-1.51143188128907e+002°)
1.79005014185596e+001	(-2.14276119622960e+001dB,-1.51744354458488e+002°)
