Freq.	V(out)
1.00000000000000e+001	(-2.70353347029362e+001dB,-1.09142408737085e+002°)
1.00695555005672e+001	(-2.68553338389940e+001dB,-1.09770041634870e+002°)
1.01395947979003e+001	(-2.66758521712102e+001dB,-1.10398721620430e+002°)
1.02101212570719e+001	(-2.64968897480704e+001dB,-1.11028431710226e+002°)
1.02811382665607e+001	(-2.63184465493907e+001dB,-1.11659155111429e+002°)
1.03526492384138e+001	(-2.61405224870153e+001dB,-1.12290875236441e+002°)
1.04246576084112e+001	(-2.59631174055850e+001dB,-1.12923575717338e+002°)
1.04971668362307e+001	(-2.57862310833765e+001dB,-1.13557240420235e+002°)
1.05701804056138e+001	(-2.56098632332116e+001dB,-1.14191853459547e+002°)
1.06437018245336e+001	(-2.54340135034370e+001dB,-1.14827399212132e+002°)
1.07177346253629e+001	(-2.52586814789740e+001dB,-1.15463862331313e+002°)
1.07922823650443e+001	(-2.50838666824366e+001dB,-1.16101227760750e+002°)
1.08673486252606e+001	(-2.49095685753186e+001dB,-1.16739480748150e+002°)
1.09429370126074e+001	(-2.47357865592490e+001dB,-1.17378606858814e+002°)
1.10190511587661e+001	(-2.45625199773141e+001dB,-1.18018591988992e+002°)
1.10956947206785e+001	(-2.43897681154463e+001dB,-1.18659422379035e+002°)
1.11728713807222e+001	(-2.42175302038788e+001dB,-1.19301084626341e+002°)
1.12505848468881e+001	(-2.40458054186646e+001dB,-1.19943565698065e+002°)
1.13288388529580e+001	(-2.38745928832597e+001dB,-1.20586852943604e+002°)
1.14076371586842e+001	(-2.37038916701684e+001dB,-1.21230934106813e+002°)
1.14869835499704e+001	(-2.35337008026515e+001dB,-1.21875797337969e+002°)
1.15668818390529e+001	(-2.33640192564939e+001dB,-1.22521431205459e+002°)
1.16473358646846e+001	(-2.31948459618322e+001dB,-1.23167824707173e+002°)
1.17283494923188e+001	(-2.30261798050404e+001dB,-1.23814967281606e+002°)
1.18099266142953e+001	(-2.28580196306731e+001dB,-1.24462848818652e+002°)
1.18920711500272e+001	(-2.26903642434632e+001dB,-1.25111459670069e+002°)
1.19747870461893e+001	(-2.25232124103758e+001dB,-1.25760790659629e+002°)
1.20580782769076e+001	(-2.23565628627135e+001dB,-1.26410833092915e+002°)
1.21419488439505e+001	(-2.21904142982746e+001dB,-1.27061578766779e+002°)
1.22264027769207e+001	(-2.20247653835615e+001dB,-1.27713019978442e+002°)
1.23114441334492e+001	(-2.18596147560376e+001dB,-1.28365149534220e+002°)
1.23970769993899e+001	(-2.16949610264327e+001dB,-1.29017960757886e+002°)
1.24833054890161e+001	(-2.15308027810935e+001dB,-1.29671447498646e+002°)
1.25701337452183e+001	(-2.13671385843802e+001dB,-1.30325604138723e+002°)
1.26575659397028e+001	(-2.12039669811053e+001dB,-1.30980425600547e+002°)
1.27456062731927e+001	(-2.10412864990155e+001dB,-1.31635907353539e+002°)
1.28342589756291e+001	(-2.08790956513129e+001dB,-1.32292045420489e+002°)
1.29235283063750e+001	(-2.07173929392168e+001dB,-1.32948836383506e+002°)
1.30134185544194e+001	(-2.05561768545618e+001dB,-1.33606277389563e+002°)
1.31039340385837e+001	(-2.03954458824339e+001dB,-1.34264366155591e+002°)
1.31950791077290e+001	(-2.02351985038396e+001dB,-1.34923100973156e+002°)
1.32868581409652e+001	(-2.00754331984107e+001dB,-1.35582480712685e+002°)
1.33792755478612e+001	(-1.99161484471398e+001dB,-1.36242504827254e+002°)
1.34723357686569e+001	(-1.97573427351475e+001dB,-1.36903173355916e+002°)
1.35660432744768e+001	(-1.95990145544792e+001dB,-1.37564486926582e+002°)
